Node: 442, visit time: 1, predecessor : NULL
Node: 443, visit time: 1, predecessor : NULL
Node: 444, visit time: 1, predecessor : NULL
Node: 445, visit time: 1, predecessor : NULL
Node: 446, visit time: 1, predecessor : NULL
Node: 447, visit time: 1, predecessor : NULL
Node: 448, visit time: 1, predecessor : NULL
Node: 449, visit time: 1, predecessor : NULL
Node: 450, visit time: 1, predecessor : NULL
Node: 451, visit time: 1, predecessor : NULL
Node: 452, visit time: 1, predecessor : NULL
Node: 453, visit time: 1, predecessor : NULL
Node: 454, visit time: 1, predecessor : NULL
Node: 455, visit time: 1, predecessor : NULL
Node: 456, visit time: 1, predecessor : NULL
Node: 457, visit time: 1, predecessor : NULL
Node: 458, visit time: 1, predecessor : NULL
Node: 459, visit time: 1, predecessor : NULL
Node: 460, visit time: 1, predecessor : NULL
Node: 461, visit time: 1, predecessor : NULL
Node: 462, visit time: 1, predecessor : NULL
Node: 463, visit time: 1, predecessor : NULL
Node: 464, visit time: 1, predecessor : NULL
Node: 465, visit time: 1, predecessor : NULL
Node: 466, visit time: 1, predecessor : NULL
Node: 467, visit time: 1, predecessor : NULL
Node: 468, visit time: 1, predecessor : NULL
Node: 469, visit time: 1, predecessor : NULL
Node: 470, visit time: 1, predecessor : NULL
Node: 471, visit time: 1, predecessor : NULL
Node: 472, visit time: 1, predecessor : NULL
Node: 473, visit time: 1, predecessor : NULL
Node: 474, visit time: 1, predecessor : NULL
Node: 475, visit time: 1, predecessor : NULL
Node: 476, visit time: 1, predecessor : NULL
Node: 477, visit time: 1, predecessor : NULL
Node: 478, visit time: 1, predecessor : NULL
Node: 479, visit time: 1, predecessor : NULL
Node: 480, visit time: 1, predecessor : NULL
Node: 481, visit time: 1, predecessor : NULL
Node: 482, visit time: 1, predecessor : NULL
Node: 483, visit time: 1, predecessor : NULL
Node: 484, visit time: 1, predecessor : NULL
Node: 485, visit time: 1, predecessor : NULL
Node: 486, visit time: 1, predecessor : NULL
Node: 487, visit time: 1, predecessor : NULL
Node: 488, visit time: 1, predecessor : NULL
Node: 489, visit time: 1, predecessor : NULL
